127.0.0.1, 2017-01-16 13:04:49, GET, /admin/default/site, HTTP/1.1, 200, 0.169000
127.0.0.1, 2017-01-16 13:04:50, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.055000
127.0.0.1, 2017-01-16 13:04:50, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.065000
127.0.0.1, 2017-01-16 13:04:50, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.120000
127.0.0.1, 2017-01-16 13:04:51, POST, /admin/default/check_version, HTTP/1.1, 200, 1.939000
127.0.0.1, 2017-01-16 13:04:52, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-01-16 13:05:37, POST, /admin/default/site, HTTP/1.1, 303, 0.514000
127.0.0.1, 2017-01-16 13:05:37, GET, /admin/default/design/teste, HTTP/1.1, 200, 0.572000
127.0.0.1, 2017-01-16 13:05:37, GET, /admin/static/_2.14.6/images/search.png, HTTP/1.1, 200, 0.010000
127.0.0.1, 2017-01-16 13:05:37, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.010000
127.0.0.1, 2017-01-16 13:05:37, GET, /admin/static/_2.14.6/images/delete_icon.png, HTTP/1.1, 200, 0.015000
127.0.0.1, 2017-01-16 13:05:37, GET, /admin/static/_2.14.6/images/test_icon.png, HTTP/1.1, 200, 0.017000
127.0.0.1, 2017-01-16 13:05:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-16 13:23:10, GET, /admin/default/design/teste, HTTP/1.1, 200, 0.150000
127.0.0.1, 2017-01-16 13:23:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-16 13:23:15, GET, /teste/appadmin/index, HTTP/1.1, 200, 0.780000
127.0.0.1, 2017-01-16 13:23:15, GET, /teste/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-01-16 13:23:15, GET, /teste/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-01-16 13:23:15, GET, /teste/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-01-16 13:23:15, GET, /teste/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-01-16 13:23:15, GET, /teste/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-01-16 13:23:15, GET, /teste/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-01-16 13:23:15, GET, /teste/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-01-16 13:23:15, GET, /teste/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-01-16 13:23:15, GET, /teste/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-01-16 13:23:15, GET, /teste/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-01-16 13:23:15, GET, /teste/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-01-16 13:23:15, GET, /teste/static/images/facebook.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-01-16 13:23:15, GET, /teste/static/images/gplus-32.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-01-16 13:23:15, GET, /teste/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-01-16 13:23:15, GET, /teste/appadmin/hooks, HTTP/1.1, 200, 0.133000
127.0.0.1, 2017-01-16 13:23:23, GET, /admin/default/design/teste, HTTP/1.1, 200, 0.118000
127.0.0.1, 2017-01-16 13:23:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-16 13:23:41, GET, /teste/appadmin/index, HTTP/1.1, 200, 0.053000
127.0.0.1, 2017-01-16 13:23:41, GET, /teste/appadmin/hooks, HTTP/1.1, 200, 0.098000
127.0.0.1, 2017-01-16 13:23:43, GET, /teste/appadmin/select/db, HTTP/1.1, 200, 0.056000
127.0.0.1, 2017-01-16 13:23:45, GET, /teste/appadmin/index, HTTP/1.1, 200, 0.052000
127.0.0.1, 2017-01-16 13:23:45, GET, /teste/appadmin/hooks, HTTP/1.1, 200, 0.070000
127.0.0.1, 2017-01-16 13:23:49, GET, /admin/default/design/teste, HTTP/1.1, 200, 0.112000
127.0.0.1, 2017-01-16 13:23:49, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-01-16 13:23:50, GET, /admin/default/design/teste, HTTP/1.1, 200, 0.110000
127.0.0.1, 2017-01-16 13:23:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-16 13:23:52, GET, /admin/default/peek/teste/models/db.py, HTTP/1.1, 200, 0.103000
127.0.0.1, 2017-01-16 13:23:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-16 13:23:57, GET, /admin/default/design/teste, HTTP/1.1, 200, 0.116000
127.0.0.1, 2017-01-16 13:23:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-16 13:24:24, GET, /admin/default/design/teste, HTTP/1.1, 200, 0.112000
127.0.0.1, 2017-01-16 13:24:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-16 13:24:26, GET, /teste/appadmin/index, HTTP/1.1, 500, 0.076000
127.0.0.1, 2017-01-16 13:24:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-16 13:24:30, GET, /admin/default/design/teste, HTTP/1.1, 200, 0.141000
127.0.0.1, 2017-01-16 13:24:30, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-01-16 13:31:59, GET, /admin/default/design/teste, HTTP/1.1, 200, 0.148000
127.0.0.1, 2017-01-16 13:32:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-16 13:32:00, GET, /teste/appadmin/index, HTTP/1.1, 500, 0.026000
127.0.0.1, 2017-01-16 13:32:00, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-01-16 13:32:02, GET, /admin/default/ticket/teste/127.0.0.1.2017-01-16.13-32-00.7eb09052-6738-417a-abf0-7d47f415f6ba, HTTP/1.1, 200, 0.243000
127.0.0.1, 2017-01-16 13:32:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-16 13:35:46, GET, /teste/appadmin/index, HTTP/1.1, 500, 0.569000
127.0.0.1, 2017-01-16 13:35:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-16 13:35:49, GET, /teste/, HTTP/1.1, 500, 0.022000
127.0.0.1, 2017-01-16 13:35:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-16 13:35:56, GET, /teste/appadmin, HTTP/1.1, 500, 0.026000
127.0.0.1, 2017-01-16 13:35:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-16 13:35:58, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2017-01-16 13:35:58, GET, /welcome/default/index, HTTP/1.1, 500, 0.022000
127.0.0.1, 2017-01-16 13:35:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-16 13:36:25, GET, /teste/, HTTP/1.1, 500, 0.023000
127.0.0.1, 2017-01-16 13:36:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-16 13:36:38, GET, /admin, HTTP/1.1, 303, 0.011000
127.0.0.1, 2017-01-16 13:36:38, GET, /admin/default/site, HTTP/1.1, 200, 0.059000
